domains,unicode,descript-IDNA,translate-IDNA,tags
xn--gk8he3b,🎌🗾,"Letters + CROSSED FLAGS, SILHOUETTE OF JAPAN",,PUNY_IDNA
waternorth,,,,
handybug,,,,
phonetic,,,,
donethat,,,,
sinitic,,,,
yumfish,,,,
anaxonia,,,,
xn--0et699l,少鯰,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
kirchau,,,,
enzed,,,,5L
wowza,,,,5L
xn--food,䕯䕭,"Letters + CJK UNIFIED IDEOGRAPH-456F, CJK UNIFIED IDEOGRAPH-456D",,PUNY_IDNA
xn--5eyv2omohvtn,篮球部落,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
kittenhood,,,,
poormaster,,,,
marinefishtanks,,,,
expresstruck,,,,
xn--jisw73a,埃斯,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
riverraft,,,,
soulpeace,,,,
handymind,,,,
powerstaff,,,,
childdao,,,,
aforeman,,,,
naturewonders,,,,
bullaria,,,,
victoriathomas,,,,
xn--5ey295at7g4jd,足球部落,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
autistress,,,,
xn--w4h9370o,🗺☯,"Letters + WORLD MAP, YIN YANG",,PUNY_IDNA
xn--e6qp4v,孔兴,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--m3d,ዞ,Letters + ETHIOPIC SYLLABLE ZO,,PUNY_IDNA
t414t,,,,5C
xn--kg8hs2c,🌄😍,"Letters + SUNRISE OVER MOUNTAINS, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
spaceghxst,,,,
yogita,,,,
fishcarpet,,,,
uptown-sushi,,,,
skatan,,,,
domaria,,,,
cowscene,,,,
xn--y9s633f,它组,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--l5u,摼,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--2m8hj8a,😍🏨,"Letters + SMILING FACE WITH HEART-SHAPED EYES, HOTEL",,PUNY_IDNA
isospore,,,,
xn--crabs-kh74d,🦀crabs,Letters + CRAB,,PUNY_IDNA
reknot,,,,
prawner,,,,
waterpipe,,,,
actuallife,,,,
cumuni,,,,
xn--1xd4a7a0tuj,ማትሪክስ,"Letters + ETHIOPIC SYLLABLE MAA, ETHIOPIC SYLLABLE TE, ETHIOPIC SYLLABLE RI, ETHIOPIC SYLLABLE KE, ETHIOPIC SYLLABLE SE",,PUNY_IDNA
q414q,,,,5C
fossickthrough,,,,
missis,,,,
stringbody,,,,
surfbar,,,,
intersale,,,,
oxozone,,,,
coastnet,,,,
m3xico,,,,
usanonymous,,,,
addnote,,,,
fishvideo,,,,
humaniform,,,,
fishingmagazines,,,,
oceanfoundation,,,,
q414p,,,,5C
kematen,,,,
e-bio,,,,5C
linuxdev,,,,
domainsninja,,,,
sailtough,,,,
authtools,,,,
0x0g,,,,4C
oasiscoral,,,,
stereotomy,,,,
jamesonwilson,,,,
xn--mgb2dl,اول,Arabic/Urdu/Uyghur,,"PUNY_IDNA,Arabic"
nextbeach,,,,
macropterous,,,,
rayjon,,,,
opencargo,,,,
recklessdao,,,,
xn--kxd0e7h,ሊብራ,"Letters + ETHIOPIC SYLLABLE LI, ETHIOPIC SYLLABLE BE, ETHIOPIC SYLLABLE RAA",,PUNY_IDNA
qasbina,,,,
fishhunt,,,,
newsight,,,,
vrdisplay,,,,
baitpump,,,,
kerschenbach,,,,
evetide,,,,
4szn,,,,4C
oscah,,,,5L
phavor,,,,
xn--3xd9k,ቡም,"Letters + ETHIOPIC SYLLABLE BU, ETHIOPIC SYLLABLE ME",,PUNY_IDNA
xn--xv8hz8d,🤫🔞,FACE WITH FINGER COVERING CLOSED LIPS + NO ONE UNDER EIGHTEEN SYMBOL,,PUNY_IDNA
regionnation,,,,
funship,,,,
floatative,,,,
xn--mg8hn2c,😍🌆,"Letters + SMILING FACE WITH HEART-SHAPED EYES, CITYSCAPE AT DUSK",,PUNY_IDNA
homophylic,,,,
arasinda,,,,
beallfor,,,,
xn--4gq34g41ft06a9ne9yg,净土一片空白,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
fishingislife,,,,
turizm,,,,
alternativefact,,,,
swiftships,,,,
xn--1-636b,1月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--7-636b,7月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
0xwhitepaper,,,,
govdb,,,,5L
god0,,,,4C
falklands,,,,
agoat,,,,5L
weitgraben,,,,
sld-sales,,,,
thewaterdao,,,,
ringoftruth,,,,
bredz,,,,5L
greasywrench,,,,
coologi,,,,
poxham,,,,
roadie,,,,
