domains,unicode,descript-IDNA,translate-IDNA,tags
xn--nxd7r1fsz,ካፒታል,"Letters + ETHIOPIC SYLLABLE KAA, ETHIOPIC SYLLABLE PI, ETHIOPIC SYLLABLE TAA, ETHIOPIC SYLLABLE LE",,PUNY_IDNA
diamonddue,,,,
sniperz,,,,
unterwuchl,,,,
nftisle,,,,
diaphoresis,,,,
kangakid,,,,
riskofdeath,,,,
bitcoinkills,,,,
xn--8o8hgg,🐴💗,HORSE FACE + GROWING HEART,,PUNY_IDNA
sevening,,,,
wildpics,,,,
weisshaus,,,,
kendlersiedlung,,,,
xn--ehq997gtsh,脏三疯,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
foliages,,,,
predatism,,,,
aerialpingpong,,,,
xn--7j8hfxq0i,📷🧑🎄,"Letters + CAMERA, ADULT, CHRISTMAS TREE",,PUNY_IDNA
xn--8o8hug,🐴💞,HORSE FACE + REVOLVING HEARTS,,PUNY_IDNA
0xassassin,,,,
pichub,,,,
i414i,,,,5C
johncleese,,,,
aerialpics,,,,
weinegg,,,,
hawtdog,,,,
mopes,,,,5L
floodtide,,,,
kidkorner,,,,
likemeta,,,,
cacography,,,,
xn--e28hp1d,🦘😀,"Letters + KANGAROO, GRINNING FACE",,PUNY_IDNA
dreamwhirl,,,,
openfish,,,,
xn--w4hw470o,☯🗺,"Letters + YIN YANG, WORLD MAP",,PUNY_IDNA
registree,,,,
xn--rd3a12a,费访,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
yachtboy,,,,
stephenx,,,,
newlivesmedia,,,,
waterdrain,,,,
xn--fcsp16dg6bm6t,疯狂园艺,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
winani,,,,
water-drain,,,,
laptopguy,,,,
made-in-usa,,,,
wenten,,,,
sldepot,,,,
subcloud,,,,
glitchface,,,,
xn--v4q876chxj,病柿儿,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
ayrampu,,,,
trekearth,,,,
neopress,,,,
xn--9wd6jmgsx,ሀሽታግ,"Letters + ETHIOPIC SYLLABLE HA, ETHIOPIC SYLLABLE SHE, ETHIOPIC SYLLABLE TAA, ETHIOPIC SYLLABLE GE",,PUNY_IDNA
whileawaythetime,,,,
hnsldns,,,,
kieneck,,,,
dailyo,,,,
xn--vej,ⰲ,Letters + GLAGOLITIC SMALL LETTER VEDE,,PUNY_IDNA
verywater,,,,
thatstrue,,,,
jackpotx,,,,
metapsychical,,,,
xn--e1afbog,имени,Cyrillic (Russian/Ukrainian),,"PUNY_IDNA,Cyrillic"
adresism,,,,
xn--cgtp7q,撒尿,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
asnau,,,,5L
veitsch,,,,
stocksail,,,,
botanicbank,,,,
pleuremphytic,,,,
isail,,,,5L
xn--mnkey-ig34d,m🙉nkey,Letters + HEAR-NO-EVIL MONKEY,,PUNY_IDNA
xpwn,,,,4L
vorderwolch,,,,
kiensass,,,,
warnblick,,,,
8ggg8,,,,5C
earthwhirl,,,,
trekgist,,,,
piscatorialist,,,,
buymugs,,,,
seage,,,,5L
e414e,,,,5C
seashoes,,,,
brainstew,,,,
sharktracking,,,,
campx,,,,5L
xn--3xd0p,ምት,"Letters + ETHIOPIC SYLLABLE ME, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
webzen,,,,
frozensnacks,,,,
gamophagia,,,,
jpeghideout,,,,
blastomycetes,,,,
xn--8o8hfg,💗🐴,GROWING HEART + HORSE FACE,,PUNY_IDNA
floweringplant,,,,
xn--mo8h4o,🐞🔍,"Letters + LADY BEETLE, LEFT-POINTING MAGNIFYING GLASS",,PUNY_IDNA
ratefee,,,,
bugcake,,,,
klachau,,,,
d414d,,,,5C
chrysophrysaustralis,,,,
antineutrality,,,,
welzeneggburgfried,,,,
rivalship,,,,
therainbow,,,,
sldepotld,,,,
xn--hz1a,蔥,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
digitalfiles,,,,
woodcrash,,,,
ebayart,,,,
tankswim,,,,
nationregion,,,,
neutralistic,,,,
domainal,,,,
china8888,,,,
xn--mbtv33k,鑒定,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
chinawalk,,,,
buffetnyc,,,,
xn--ehq11txq5apbo,三国笑话,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
kierling,,,,
hnscores,,,,
offenegg,,,,
guidedao,,,,
xn--w1d2n,ኢዱ,"Letters + ETHIOPIC SYLLABLE GLOTTAL I, ETHIOPIC SYLLABLE DU",,PUNY_IDNA
xn--z3v507a,种植,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
sysdev,,,,
yzar,,,,4L
seawings,,,,
kerschham,,,,
0xlite,,,,
countersecurity,,,,
pikcat,,,,
anaxiphilia,,,,
xn--qg8hf2c,😍🌊,"Letters + SMILING FACE WITH HEART-SHAPED EYES, WATER WAVE",,PUNY_IDNA
bedknobsandbroomsticks,,,,
0-me,,,,4C
xn--fxdp7xic0g,ብልህነት,"Letters + ETHIOPIC SYLLABLE BE, ETHIOPIC SYLLABLE LE, ETHIOPIC SYLLABLE HE, ETHIOPIC SYLLABLE NA, ETHIOPIC SYLLABLE TE",,PUNY_IDNA
wagersbach,,,,
addrea,,,,
iinet,,,,5L
chandpara,,,,
tidedrifter,,,,
entendres,,,,
sdubs,,,,5L
xn--tu8hq9e5c,📷🧑🦯,"Letters + CAMERA, ADULT, PROBING CANE",,PUNY_IDNA
xn--u2t29l3ta2g120g,日月当空曌,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--2nyw4as3q,画皮网,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--kg8hr2c,😍🌄,"Letters + SMILING FACE WITH HEART-SHAPED EYES, SUNRISE OVER MOUNTAINS",,PUNY_IDNA
arossa,,,,
amphigonous,,,,
areadinho,,,,
bicolors,,,,
azureness,,,,
wofdnsdjswoac,,,,
moonlightrain,,,,
captainaustralia,,,,
zenhax,,,,
xn--hpab728eei0ae33k,ʕಠꈊ◉ʔ,"Letters + LATIN LETTER PHARYNGEAL VOICED FRICATIVE, KANNADA LETTER TTHA, YI SYLLABLE KET, FISHEYE, LATIN LETTER GLOTTAL STOP",,PUNY_IDNA
carphotos,,,,
xn--6l8hldu6p,🦶🏿🏉,"Letters + FOOT, EMOJI MODIFIER FITZPATRICK TYPE-6, RUGBY FOOTBALL",,PUNY_IDNA
lifemedianews,,,,
flatout,,,,
blastactinota,,,,
0__9,,,,4C
daysea,,,,
nimbleship,,,,
xppe,,,,4L
weinern,,,,
whywater,,,,
aquastick,,,,
mercurian,,,,
artjpeg,,,,
xn--ng8hl2c,😍🌇,"Letters + SMILING FACE WITH HEART-SHAPED EYES, SUNSET OVER BUILDINGS",,PUNY_IDNA
xn--hxyz3a,短的,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
metaversesnipe,,,,
klebing,,,,
screwlife,,,,
wanderwave,,,,
opponitz,,,,
findbeats,,,,
polyphyodont,,,,
vorholz,,,,
xn--mt7hs0h,🀄😍,"Letters + MAHJONG TILE RED DRAGON, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
annualpasses,,,,
provedfact,,,,
indenizen,,,,
australianfederalgovernment,,,,
thedancers,,,,
xn--ng8hm2c,🌇😍,"Letters + SUNSET OVER BUILDINGS, SMILING FACE WITH HEART-SHAPED EYES",,PUNY_IDNA
psychoda,,,,
faithblind,,,,
wellhellothere,,,,
cqcoal,,,,
turfsurf,,,,
heavenless,,,,
wenns,,,,5L
xn--plane-el2c,plane✈,Letters + AIRPLANE,,PUNY_IDNA
xn--5qs043gm4o,壱肆零,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
mrsghost,,,,
rafc,,,,4L
xn--qfk,ㄙ,Letters + BOPOMOFO LETTER S,,PUNY_IDNA
slavedealer,,,,
xn--j1dv7a9t,አይካን,"Letters + ETHIOPIC SYLLABLE GLOTTAL A, ETHIOPIC SYLLABLE YE, ETHIOPIC SYLLABLE KAA, ETHIOPIC SYLLABLE NE",,PUNY_IDNA
popmail,,,,
8bad8,,,,5C
xn--v4hy400o,☮🐐,"Letters + PEACE SYMBOL, GOAT",,PUNY_IDNA
wankham,,,,
idkdao,,,,
vogelberg,,,,
sunnyglow,,,,
xn--4gb0af,عون,Arabic/Urdu/Uyghur,,"PUNY_IDNA,Arabic"
keepyuppy,,,,
xn--4gqf1661b,苏七一,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
himward,,,,
pezs,,,,4L
xn--vn8h0e,🐄👑,"Letters + COW, CROWN",,PUNY_IDNA
plsplz,,,,
4few,,,,4C
cyrenaicism,,,,
adiaphorism,,,,
basketmaking,,,,
fishnow,,,,
petstor,,,,
colorfulbird,,,,
numbxrz,,,,
garagemonkey,,,,
helisite,,,,
xn--80ahyzc1d,думать,Cyrillic (Russian/Ukrainian),,"PUNY_IDNA,Cyrillic"
xn--rsqared-gpf,πrsqared,Greek,,"PUNY_IDNA,Greek"
webfed,,,,
subsequences,,,,
bellare,,,,
rvarud,,,,
galvanist,,,,
rvstop,,,,
xn--nm8hh9a,😍🏙,"Letters + SMILING FACE WITH HEART-SHAPED EYES, CITYSCAPE",,PUNY_IDNA
shi3,,,,4C
bibliology,,,,
xn--igt332e,立居,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
euthanasy,,,,
xn--hero,剬剳,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
jokedev,,,,
dogvscat,,,,
newslifemedia,,,,
itcafe,,,,
mrgrant,,,,
masculism,,,,
bestnewswebsite,,,,
comura,,,,
exergame,,,,
gainsays,,,,
salesell,,,,
xnip,,,,4L
gracerios,,,,
xn--6tuu7b,擦拭,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
isdao,,,,5L
fishmobile,,,,
1300smiles,,,,
webbob,,,,
garrarufafish,,,,
acontinental,,,,
brainruin,,,,
pressdept,,,,
rabbitwolf,,,,
naturesseascape,,,,
debbies,,,,
blockface,,,,
you-mail,,,,
xn--jbt1d,密宗,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
creafamainc,,,,
miscarries,,,,
velzur,,,,
deathjoke,,,,
xn--7n8hvi,💛🐐,"Letters + YELLOW HEART, GOAT",,PUNY_IDNA
yesud,,,,5L
stakerx,,,,
xn--6l8h08g,🏉🦶,"Letters + RUGBY FOOTBALL, FOOT",,PUNY_IDNA
ok13,,,,4C
a414a,,,,5C
campingtip,,,,
sinism,,,,
skilletfish,,,,
byup,,,,4L
parrotpal,,,,
xn--is8he3f,💦🦘,"Letters + SPLASHING SWEAT SYMBOL, KANGAROO",,PUNY_IDNA
moodguru,,,,
anon-0,,,,
yuleba,,,,
xnyc,,,,4L
mirical,,,,
gamesforlife,,,,
wanzbach,,,,
tatahitachi,,,,
xn--10-5j8d,10月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
8nnn8,,,,5C
idiologism,,,,
weisland,,,,
mskinner,,,,
iross,,,,5L
xn--rq8h1i54j,📷👩🦱,"Letters + CAMERA, WOMAN, EMOJI COMPONENT CURLY HAIR",,PUNY_IDNA
ch70,,,,4C
g414g,,,,5C
xn--jorw12fyws,双重的,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
seaninja,,,,
actionfest,,,,
8odo8,,,,5C
shakeguide,,,,
dreamreaver,,,,
emigrations,,,,
pluralizes,,,,
solarimages,,,,
ch40,,,,4C
rain-water,,,,
urfahr,,,,
nihilify,,,,
xn--cest9bgz1cspx,足球天地,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
openseafisher,,,,
isorropic,,,,
24hournews,,,,
chinesewhale,,,,
keepsailing,,,,
xn--n77hma016c,🇯🇵🤝,"Letters + REGIONAL INDICATOR SYMBOL LETTER J, REGIONAL INDICATOR SYMBOL LETTER P, HANDSHAKE",,PUNY_IDNA
bluf,,,,4L
xn--tkrp0qh7esqb021f,脑子慢半拍,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xtreme,,,,
sabirkend,,,,
xn--9-636b,9月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
imagg,,,,5L
niceweed,,,,
xn--4ckvf0a,ゾーン,Japanese,,"PUNY_IDNA,Japanese"
b4belief,,,,
fuckabyte,,,,
xn--syd5p9t,ነፍስ,"Letters + ETHIOPIC SYLLABLE NA, ETHIOPIC SYLLABLE FE, ETHIOPIC SYLLABLE SE",,PUNY_IDNA
ethereumos,,,,
publicfish,,,,
fasciate,,,,
seniorgirl,,,,
xn--tu8hkdo2m,📷🧑🔬,"Letters + CAMERA, ADULT, MICROSCOPE",,PUNY_IDNA
xn--8prq6v,合并,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
ship-money,,,,
boatpleasure,,,,
emccarthy,,,,
waidhausen,,,,
thatsnotaname,,,,
duboko,,,,
koalapicks,,,,
airvarie,,,,
b4boat,,,,
fractl,,,,
xcook,,,,5L
photohumor,,,,
vormoos,,,,
aquasurge,,,,
maxtrips,,,,
sunivers,,,,
xn--l3hz591o,🤝☁,"Letters + HANDSHAKE, CLOUD",,PUNY_IDNA
digsair,,,,
xn--qg8h3y,💙🌊,"Letters + BLUE HEART, WATER WAVE",,PUNY_IDNA
shakebake,,,,
tourismtasmania,,,,
aussiewhale,,,,
ch43,,,,4C
xn--g1ajq,мзс,Cyrillic (Russian/Ukrainian),,"PUNY_IDNA,Cyrillic"
topnewsarticles,,,,
ch48,,,,4C
sigmate,,,,
xn--wo8h3o,🔗🐨,"Letters + LINK SYMBOL, KOALA",,PUNY_IDNA
watercity,,,,
4bush,,,,5C
tidechange,,,,
truckerpath,,,,
armyboats,,,,
mediasnewlife,,,,
phishery,,,,
govapi,,,,
xn--b6hgfd,♠♦♥♣,"Letters + BLACK SPADE SUIT, BLACK DIAMOND SUIT, BLACK HEART SUIT, BLACK CLUB SUIT",,PUNY_IDNA
dongar,,,,
walkfree,,,,
unichord,,,,
thisisaname,,,,
boatlights,,,,
conquien,,,,
y414y,,,,5C
policeblockchain,,,,
xn--55q99d,公吨,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xn--yhq3d483n4rm,丝绸之路,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
webersdorf,,,,
qasimalilar,,,,
letitcook,,,,
xn--jn2ar3z,行间,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
purrfectlife,,,,
xn--krup14b6vt,抑郁症,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
98au,,,,4C
xn--essp57g,良夜,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
moonwon,,,,
misaltered,,,,
cantofe,,,,
tldepotld,,,,
xn--bo8hf5a,😆🐓,"Letters + SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES, ROOSTER",,PUNY_IDNA
web3donation,,,,
wavescrash,,,,
mylifesofar,,,,
xn--wnuw08b,我看,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
xtogether,,,,
miothermic,,,,
